"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.06.2025","442,00","443,40","450,90","433,40","1,04M","-0,45%"
"01.05.2025","444,00","467,25","472,25","430,75","1,94M","-4,98%"
"01.04.2025","467,25","457,75","490,75","447,50","3,72M","2,19%"
"01.03.2025","457,25","455,25","470,25","426,50","2,04M","0,83%"
"01.02.2025","453,50","476,75","504,50","453,00","4,04M","-8,01%"
"01.01.2025","493,00","465,00","508,00","456,75","2,29M","7,52%"
"01.12.2024","458,50","423,00","459,00","420,25","1,84M","5,89%"
"01.11.2024","433,00","425,75","447,75","425,50","3,53M","5,42%"
"01.10.2024","410,75","423,50","434,25","399,00","5,16M","-3,30%"
"01.09.2024","424,75","378,00","427,75","376,50","2,05M","5,92%"
"01.08.2024","401,00","399,75","409,00","385,00","4,42M","4,77%"
"01.07.2024","382,75","397,25","412,00","381,00","1,76M","-3,65%"
"01.06.2024","397,25","445,75","460,50","390,50","3,98M","-12,50%"
"01.05.2024","454,00","446,75","483,75","443,75","3,03M","1,62%"
"01.04.2024","446,75","454,50","454,50","435,75","3,54M","-1,71%"
"01.03.2024","454,50","429,25","460,00","422,00","2,32M","9,32%"
"01.02.2024","415,75","448,00","448,75","394,50","3,61M","-9,32%"
"01.01.2024","458,50","483,00","483,75","447,50","1,31M","-2,71%"
"01.12.2023","471,25","460,25","484,00","455,00","1,13M","2,06%"
"01.11.2023","461,75","478,75","481,25","447,00","3,79M","-3,55%"
"01.10.2023","478,75","477,00","509,50","476,00","3,35M","0,42%"
"01.09.2023","476,75","461,00","490,00","455,75","1,23M","3,42%"
"01.08.2023","461,00","504,00","512,25","459,00","2,20M","-8,53%"
"01.07.2023","504,00","558,50","614,75","495,25","1,29M","-9,11%"
"01.06.2023","554,50","594,00","672,50","552,00","3,16M","-6,49%"
"01.05.2023","593,00","583,30","656,25","547,10","176,21K","-6,76%"
"01.04.2023","636,00","659,50","682,50","572,00","13,72K","-3,71%"
"01.03.2023","660,50","630,00","664,50","618,25","1,82M","4,92%"
"01.02.2023","629,50","679,25","688,25","629,25","2,79M","-7,39%"
"01.01.2023","679,75","677,25","688,75","648,25","2,92M","0,18%"
"01.12.2022","678,50","661,75","685,00","623,00","1,00M","2,49%"
"01.11.2022","662,00","689,00","698,50","651,25","3,14M","-4,27%"
"01.10.2022","691,50","680,00","706,50","671,50","2,81M","2,07%"
"01.09.2022","677,50","671,00","725,00","655,00","1,68M","0,56%"
"01.08.2022","673,75","619,75","684,25","583,00","1,96M","9,33%"
"01.07.2022","616,25","748,00","800,00","561,50","969,91K","-17,14%"
"01.06.2022","743,75","753,75","800,00","720,50","3,07M","-1,29%"
"01.05.2022","753,50","811,50","822,00","747,25","1,31M","-7,91%"
"01.04.2022","818,25","748,50","827,00","730,25","2,40M","9,28%"
"01.03.2022","748,75","699,75","800,00","699,75","1,43M","7,35%"
"01.02.2022","697,50","626,00","718,75","610,25","3,56M","11,42%"
"01.01.2022","626,00","599,00","642,50","584,75","3,46M","5,52%"
"01.12.2021","593,25","568,00","617,75","567,00","1,45M","4,63%"
"01.11.2021","567,00","568,00","589,00","547,75","3,65M","-0,22%"
"01.10.2021","568,25","536,75","569,25","506,75","2,88M","5,87%"
"01.09.2021","536,75","534,00","548,50","487,75","1,54M","0,51%"
"01.08.2021","534,00","547,25","589,50","524,00","2,14M","-2,38%"
"01.07.2021","547,00","719,75","750,50","536,75","891,07K","-24,03%"
"01.06.2021","720,00","666,00","743,25","629,50","3,53M","9,63%"
"01.05.2021","656,75","740,00","775,00","602,75","1,54M","-11,25%"
"01.04.2021","740,00","575,00","746,25","549,75","3,43M","31,15%"
"01.03.2021","564,25","560,50","571,25","532,75","1,76M","1,58%"
"01.02.2021","555,50","549,00","574,25","524,75","3,56M","1,55%"
"01.01.2021","547,00","487,25","553,75","479,50","4,29M","13,02%"
"01.12.2020","484,00","420,00","485,75","409,00","1,65M","15,31%"
"01.11.2020","419,75","396,00","430,50","393,00","3,53M","5,33%"
"01.10.2020","398,50","379,00","422,25","377,25","4,51M","5,15%"
"01.09.2020","379,00","347,75","382,75","343,25","2,13M","8,75%"
"01.08.2020","348,50","315,00","353,00","307,25","2,75M","10,28%"
"01.07.2020","316,00","338,50","356,50","314,50","1,45M","-6,65%"
"01.06.2020","338,50","325,50","342,00","313,50","4,08M","3,91%"
"01.05.2020","325,75","311,00","330,75","305,50","1,37M","4,57%"
"01.04.2020","311,50","341,25","343,25","300,25","2,91M","-8,58%"
"01.03.2020","340,75","366,50","388,50","332,00","2,00M","-7,03%"
"01.02.2020","366,50","380,50","385,00","361,75","3,51M","-3,87%"
"01.01.2020","381,25","387,75","394,00","375,25","3,60M","-1,68%"
"01.12.2019","387,75","371,75","392,00","357,00","1,11M","4,44%"
"01.11.2019","371,25","389,25","391,75","362,25","3,79M","-4,81%"
"01.10.2019","390,00","386,75","402,50","378,25","3,65M","0,52%"
"01.09.2019","388,00","358,75","388,25","340,00","1,65M","8,38%"
"01.08.2019","358,00","401,75","417,00","355,25","3,08M","-10,56%"
"01.07.2019","400,25","424,25","460,00","400,00","1,69M","-4,76%"
"01.06.2019","420,25","426,25","464,25","407,00","4,83M","-1,58%"
"01.05.2019","427,00","353,50","438,00","335,50","4,19M","20,88%"
"01.04.2019","353,25","356,50","366,25","342,25","3,98M","-0,91%"
"01.03.2019","356,50","361,75","380,75","352,75","2,10M","-1,52%"
"01.02.2019","362,00","376,50","381,75","361,25","4,41M","-3,85%"
"01.01.2019","376,50","375,25","384,50","371,00","3,42M","0,40%"
"01.12.2018","375,00","372,75","386,50","369,25","1,13M","2,32%"
"01.11.2018","366,50","363,25","379,00","355,25","4,35M","0,89%"
"01.10.2018","363,25","356,75","378,50","356,50","3,82M","1,96%"
"01.09.2018","356,25","351,50","366,75","337,00","1,76M","1,50%"
"01.08.2018","351,00","372,00","373,75","340,25","2,70M","-5,71%"
"01.07.2018","372,25","352,25","374,25","329,75","1,31M","6,28%"
"01.06.2018","350,25","393,75","397,00","338,75","4,62M","-11,10%"
"01.05.2018","394,00","393,00","412,25","387,50","2,32M","0,38%"
"01.04.2018","392,50","389,25","395,75","372,00","4,00M","1,23%"
"01.03.2018","387,75","374,00","390,75","369,25","2,28M","3,54%"
"01.02.2018","374,50","360,75","376,75","356,25","4,71M","3,60%"
"01.01.2018","361,50","351,25","362,25","345,50","3,96M","3,06%"
"01.12.2017","350,75","341,75","354,25","335,25","1,00M","2,63%"
"01.11.2017","341,75","345,75","352,00","335,50","5,01M","-1,16%"
"01.10.2017","345,75","354,75","356,25","342,50","3,70M","-2,67%"
"01.09.2017","355,25","341,50","358,00","336,00","1,60M","3,80%"
"01.08.2017","342,25","369,25","375,50","328,50","2,97M","-7,69%"
"01.07.2017","370,75","373,25","394,50","360,00","1,31M","0,07%"
"01.06.2017","370,50","371,50","391,75","356,25","5,11M","-0,40%"
"01.05.2017","372,00","363,00","377,50","356,25","1,97M","3,91%"
"01.04.2017","358,00","365,75","373,00","354,25","3,50M","-1,72%"
"01.03.2017","364,25","366,25","377,00","353,00","1,86M","-0,68%"
"01.02.2017","366,75","360,00","380,00","358,00","3,71M","1,95%"
"01.01.2017","359,75","352,00","371,00","351,50","3,62M","2,20%"
"01.12.2016","352,00","337,00","363,00","331,00","1,22M","4,53%"
"01.11.2016","336,75","354,75","356,50","335,50","4,10M","-5,07%"
"01.10.2016","354,75","336,25","359,25","335,25","3,55M","5,35%"
"01.09.2016","336,75","302,00","342,25","301,75","1,76M","11,69%"
"01.08.2016","301,50","332,50","334,75","301,00","2,34M","-9,87%"
"01.07.2016","334,50","360,75","374,50","326,75","1,07M","-6,76%"
"01.06.2016","358,75","404,25","439,25","355,75","4,55M","-11,37%"
"01.05.2016","404,75","388,75","413,50","367,00","2,07M","3,72%"
"01.04.2016","390,25","351,75","402,00","347,25","4,43M","11,02%"
"01.03.2016","351,50","353,50","374,00","347,50","2,11M","-0,57%"
"01.02.2016","353,50","371,00","373,75","352,50","3,58M","-4,97%"
"01.01.2016","372,00","359,50","373,00","348,50","3,57M","3,69%"
"01.12.2015","358,75","365,25","381,75","357,00","1,57M","-1,71%"
"01.11.2015","365,00","381,25","383,50","356,00","4,09M","-4,51%"
"01.10.2015","382,25","387,75","399,75","372,00","3,50M","-1,42%"
"01.09.2015","387,75","362,50","395,00","346,75","1,71M","6,60%"
"01.08.2015","363,75","370,00","391,50","346,50","2,47M","-1,95%"
"01.07.2015","371,00","411,00","438,75","365,75","1,57M","-10,39%"
"01.06.2015","414,00","350,50","415,00","346,75","4,33M","17,78%"
"01.05.2015","351,50","362,50","371,50","348,25","1,66M","-3,03%"
"01.04.2015","362,50","377,00","390,00","359,00","3,19M","-3,65%"
"01.03.2015","376,25","383,00","398,50","367,00","2,16M","-2,15%"
"01.02.2015","384,50","369,75","391,75","367,50","3,08M","3,92%"
"01.01.2015","370,00","396,25","409,50","365,75","3,19M","-6,80%"
"01.12.2014","397,00","374,00","417,00","364,25","1,38M","5,66%"
"01.11.2014","375,75","374,50","389,00","359,00","3,71M","-0,27%"
"01.10.2014","376,75","320,25","381,00","318,25","3,80M","17,46%"
"01.09.2014","320,75","357,50","360,75","319,50","1,44M","-10,65%"
"01.08.2014","359,00","357,00","370,00","347,75","1,96M","0,56%"
"01.07.2014","357,00","423,75","423,75","356,50","1,03M","-15,85%"
"01.06.2014","424,25","465,00","470,50","422,50","2,61M","-8,91%"
"01.05.2014","465,75","513,25","519,50","465,00","1,27M","-9,39%"
"01.04.2014","514,00","501,50","519,00","485,50","2,65M","2,39%"
"01.03.2014","502,00","459,00","503,75","457,25","1,34M","9,73%"
"01.02.2014","457,50","433,50","459,00","433,25","3,19M","5,41%"
"01.01.2014","434,00","422,00","435,50","406,25","3,25M","2,84%"
"01.12.2013","422,00","414,75","436,00","410,00","879,44K","1,63%"
"01.11.2013","415,25","427,75","438,00","410,75","3,72M","-3,04%"
"01.10.2013","428,25","441,25","449,75","427,00","2,95M","-3,00%"
"01.09.2013","441,50","501,25","504,50","440,75","1,32M","-10,81%"
"01.08.2013","495,00","499,00","522,75","453,75","1,62M","-0,80%"
"01.07.2013","499,00","678,50","800,00","488,25","988,75K","-26,54%"
"01.06.2013","679,25","661,25","685,50","640,50","2,05M","2,61%"
"01.05.2013","662,00","679,50","722,50","632,50","1,22M","-3,11%"
"01.04.2013","683,25","679,00","693,00","626,50","2,67M","-1,73%"
"01.03.2013","695,25","719,50","749,00","695,25","1,22M","-3,37%"
"01.02.2013","719,50","740,25","746,25","687,25","2,70M","-2,84%"
"01.01.2013","740,50","706,25","744,50","678,00","2,88M","6,05%"
"01.12.2012","698,25","752,00","759,00","687,50","874,51K","-6,65%"
"01.11.2012","748,00","755,50","763,25","710,50","3,13M","-1,03%"
"01.10.2012","755,75","760,25","776,00","732,25","3,00M","-0,07%"
"01.09.2012","756,25","805,00","818,25","705,00","1,56M","-5,79%"
"01.08.2012","802,75","806,50","843,75","776,75","1,60M","-0,31%"
"01.07.2012","805,25","642,50","820,50","640,75","2,95M","28,12%"
"01.06.2012","628,50","525,75","649,25","510,00","1,78M","19,60%"
"01.05.2012","525,50","632,00","634,25","511,50","1,93M","-17,15%"
"01.04.2012","634,25","646,75","659,75","591,75","2,86M","-1,40%"
